, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
31-12-1960,37.02988388,82.1886,
31-12-1961,39.23243578,85.3543,3.7227
31-12-1962,42.16148186,89.8818,2.9311
31-12-1963,48.42192346,101.1264,5.9944
31-12-1964,56.48028994,115.5375,7.453
31-12-1965,59.55485458,119.3189,-2.6358
31-12-1966,45.86546203,89.9973,-0.0553
31-12-1967,50.1349422,96.3391,7.826
31-12-1968,53.08545587,99.876,3.3879
31-12-1969,58.44799502,107.6223,6.5397
31-12-1970,62.42248305,112.4345,5.1572
31-12-1971,67.35098802,118.6032,1.6429
31-12-1972,71.46319383,122.9819,-0.5533
31-12-1973,85.51526959,143.7787,3.2955
31-12-1974,99.52589912,163.4781,1.1853
31-12-1975,98.47279646,158.0362,9.1499
31-12-1976,102.7171645,161.0921,1.6631
31-12-1977,121.4873225,186.2135,7.2548
31-12-1978,137.3002953,205.6934,5.7125
31-12-1979,152.9916538,224.001,-5.2382
31-12-1980,186.3253451,266.5779,6.7358
31-12-1981,193.49061,270.4706,6.0062
31-12-1982,200.7151454,274.1113,3.4757
31-12-1983,218.2622734,291.2381,7.2889
31-12-1984,212.1582342,276.668,3.8207
31-12-1985,232.5118778,296.4352,5.2543
31-12-1986,248.985994,310.4659,4.7766
31-12-1987,279.0335841,340.4168,3.9654
31-12-1988,296.5889948,354.1492,9.6278
31-12-1989,296.042355,346.1129,5.9473
31-12-1990,320.9790264,367.5566,5.5335
31-12-1991,270.1053419,303.0556,1.0568
31-12-1992,288.2084304,316.9539,5.4824
31-12-1993,279.296023,301.159,4.7508
31-12-1994,327.2755835,346.103,6.6589
31-12-1995,360.2819527,373.7665,7.5745
31-12-1996,392.8970543,399.9501,7.5495
31-12-1997,415.8677539,415.4938,4.0498
31-12-1998,421.3514775,413.2989,6.1844
31-12-1999,458.8204173,441.9988,8.8458
31-12-2000,468.3949373,443.3142,3.841
31-12-2001,485.4410145,451.573,4.824
31-12-2002,514.9379489,470.9868,3.804
31-12-2003,607.6992854,546.7266,7.8604
31-12-2004,709.1485148,627.7742,7.9229
31-12-2005,820.3815955,714.861,7.9234
31-12-2006,940.2598888,806.7533,8.0607
31-12-2007,1216.735442,1028.3348,7.6608
31-12-2008,1198.895582,998.5223,3.0867
31-12-2009,1341.886603,1101.9608,7.8619
31-12-2010,1675.615336,1357.5637,8.4976
31-12-2011,1823.049928,1458.1041,5.2413
31-12-2012,1827.637859,1443.8824,5.4564
31-12-2013,1856.722121,1449.6105,6.3861
31-12-2014,2039.127446,1573.8856,7.4102
31-12-2015,2103.587814,1605.6054,7.9963
31-12-2016,2294.797981,1732.5542,8.2563
31-12-2017,2651.472946,1980.667,6.7954
31-12-2018,2702.929719,1998.2591,6.4539
31-12-2019,2831.552223,2072.2449,3.7379
31-12-2020,2667.687952,1933.1011,-6.5961
31-12-2021,3173.397591,2277.4343,8.948
